序号,注音,语料统一用字,其他可接受的写法,辞典将来用字参考,普通话,优先级
383,ge4e2,个欸,,,那里,383
384,gua3son3,划算,,,划算,384
385,co4,坐,,,坐,385
386,fa1,花,,,花,386
387,pa4,怕,,,怕,387
388,tsin4su3,亲手,,,帮忙,388
389,zin4fu3,政府,,,政府,389
390,mak6ngin2,脉人,,,谁,390
391,si4pin2,视频,,,视频,391
392,zui4hau3,最好,,,最好,392
393,tiam2,甜,,,甜,393
394,pien2si2,平时,,,平时,394
395,mai1coi4,买菜,,,买菜,395
396,si2tsien2,提前,,,提前,396
397,cu4,住,,,住,397
398,cong4,唱,,,唱,398
399,sin1pun4,身体,,,身体,399
400,pen2iu1,朋友,,,朋友,400
401,zin4,阵,,,"伙伴,同伴",401
402,tsien2,前,,,前,402
403,lau3ngin2,老人,,,老人,403
404,vi4zi4,位置,,,位置,404
405,lap6sap6,垃圾,,,垃圾,405
406,mi3,尾,,,最后,406
407,zui4heu4,最后,,,最后,407
408,sin1loi2,新来,,,新来,408
409,tsit6tsap5,直接,,,直接,409
410,tit5,摘,,,摘,410
411,i1kia1,瑜伽,,,瑜伽,411
412,iu1i4si1,有意思,,,有意思,412
413,zu3,煮,,,煮,413
414,gai1song1,街上,,,街上,414
415,sau4,少,,,少,415
416,tsiang3,请,,,请,416
417,i4sin4,医生,,,医生,417
418,von4,换,,,换,418
419,dan3sim1,担心,,,担心,419
420,zai4ia1,再也,,,再也,420
421,zin4zo4ded5,正做得,,,才能,421
422,m2he4,唔係,,,不是,422
423,zin1hau3,真好,,,真好,423
424,fung1gin3,风景,,,风景,424
425,si4,事,,,事,425
426,ge4go4,个话,,,的话,426
427,go4ngien2,过年,,,过年,427
428,gau4lien4,教练,,,教练,428
429,san3pu4,散步,,,散步,429
430,zin4hang2,正行,,,才行,430
431,sat5gi4,设计,,,设计,431
432,gen1bun3,根本,,,根本,432
433,ha1zu4,下昼,,,下午,433
434,song1zu4,上昼,,,上午,434
435,dang1zu4,当昼,,,中午,435
436,song1boi4,上背,,,上面,436
437,tut6ien2,突然,,,突然,437
438,ngiat6,热,,,热,438
439,ket5go3,结果,,,结果,439
440,zui1tsen4,推荐,,,推荐,440
441,van2bau3,环保,,,环保,441
442,si1fu4,师傅,,,师傅,442
443,sang2ngit5,成日,,,整天,443
444,si3,死,,,死,444
445,dong4,当,,,当,445
446,zung3,总,,,总,446
447,nun4,嫩,,,嫩,447
448,bot5,发,,,发,448
449,sin4i4,生意,,,生意,449
450,goi1,该,,,该,450
451,vu2gam3,唔敢,,,不敢,451
452,mu3,舞,,,舞,452
453,dai4,戴,,,戴,453
454,fat5hien4,发现,,,发现,454
455,tien1,天,,,天,455
456,koi1sim1,开心,,,开心,456
457,vuk5,屋,,,房子,457
458,ki1,车,,,车,458
459,lim2fan2,麻烦,,,麻烦,459
460,sin1cut5,新出,,,新出,460
461,tsin1cu3,清楚,,,清楚,461
462,theu2sen1,头先,,,刚才,462
463,tet6hau4,特效,,,特效,463
464,iu2sui3,游水,,,游泳,464
465,tsiang1sin1,精神,,,精神,465
466,leu2ha1,楼下,,,楼下,466
467,lang1tien1,冷天,,,冬天,467
468,tsien1ki2m2hau3,千祈唔好,,,千万别,468
469,zu1zi4,组织,,,组织,469
470,zin4zung1,正宗,,,正宗,470
471,gai1,街,,,街,471
